Date, Open, High, Low, Close, Volume
07/05/21, 41.30, 41.50, 41.25, 41.40, 3303100
07/02/21, 41.25, 42.00, 41.20, 41.35, 10369000
07/01/21, 41.75, 42.45, 41.25, 42.00, 6616500
06/30/21, 41.00, 42.00, 41.00, 41.45, 1567300
06/29/21, 40.90, 41.75, 40.55, 40.85, 5822600
06/28/21, 41.00, 41.00, 40.45, 40.70, 5135400
06/25/21, 41.00, 41.25, 40.50, 40.75, 7035700
06/24/21, 41.25, 41.25, 40.80, 40.95, 9055800
06/23/21, 41.00, 41.30, 41.00, 41.15, 5347200
06/22/21, 41.50, 41.50, 41.05, 41.30, 18738600
06/21/21, 41.25, 41.40, 41.00, 41.30, 2453100
06/18/21, 41.90, 41.95, 41.05, 41.25, 12133300
06/17/21, 41.90, 41.95, 41.25, 41.60, 1814900
06/16/21, 41.45, 42.20, 41.45, 41.95, 9027100
06/15/21, 41.50, 42.00, 41.30, 41.60, 4987800
06/14/21, 41.25, 41.70, 41.25, 41.45, 805800
06/11/21, 41.30, 41.80, 41.00, 41.25, 20279400
06/10/21, 41.00, 41.55, 41.00, 41.25, 6835900
06/09/21, 41.05, 41.50, 41.00, 41.00, 12544200
06/08/21, 40.60, 41.20, 40.60, 40.95, 1140500
06/07/21, 40.55, 41.00, 40.50, 40.55, 3101100
06/04/21, 41.10, 41.10, 40.20, 40.50, 1004200
06/03/21, 41.30, 41.75, 40.50, 41.00, 4545100
06/02/21, 41.85, 41.85, 40.30, 41.10, 5847500
05/31/21, 41.80, 41.80, 40.00, 40.85, 1955700
05/28/21, 40.50, 42.20, 40.00, 41.85, 14150900
05/27/21, 41.90, 41.90, 39.25, 40.35, 13876200
05/26/21, 42.75, 42.80, 41.10, 41.80, 6141500
05/25/21, 42.50, 43.10, 42.05, 42.75, 19488900
05/24/21, 40.85, 43.45, 40.85, 41.75, 8560800
05/21/21, 39.45, 40.10, 39.05, 39.50, 10058400
05/20/21, 39.00, 39.95, 38.10, 38.90, 3253700
05/19/21, 38.30, 39.00, 37.80, 38.05, 20924500
05/18/21, 39.00, 39.00, 38.10, 38.35, 7811900
05/17/21, 39.40, 39.50, 38.65, 39.00, 24876500
05/13/21, 39.90, 39.90, 39.00, 39.40, 2321100
05/12/21, 40.05, 40.55, 39.60, 40.10, 5833200
05/11/21, 40.80, 40.95, 40.00, 40.60, 12185800
05/10/21, 40.65, 41.25, 40.65, 40.85, 3927500
05/07/21, 40.70, 40.90, 40.65, 40.80, 15341400
05/06/21, 40.50, 40.85, 40.30, 40.65, 10568600
05/05/21, 40.55, 40.75, 40.45, 40.50, 4582700
05/04/21, 40.55, 41.00, 40.45, 40.75, 9132400
05/03/21, 40.50, 41.00, 40.30, 40.50, 3331500
04/30/21, 40.25, 40.65, 40.00, 40.35, 10465400
04/29/21, 40.50, 41.00, 40.00, 40.35, 10140200
04/28/21, 39.00, 40.20, 39.00, 39.90, 11071200
04/27/21, 39.00, 39.60, 39.00, 39.35, 10080800
04/26/21, 38.50, 39.20, 38.40, 39.00, 6809000
04/23/21, 39.10, 39.10, 38.00, 38.80, 2854800
04/22/21, 38.80, 39.25, 38.80, 39.10, 2293400
04/21/21, 38.60, 39.25, 38.50, 39.00, 9418500
04/20/21, 38.20, 38.90, 38.00, 38.40, 5128500
04/19/21, 38.00, 38.40, 37.80, 38.00, 2238300
04/16/21, 38.15, 38.55, 38.15, 38.40, 5569200
04/15/21, 37.35, 38.45, 37.35, 38.15, 7139700
04/14/21, 37.00, 37.50, 36.70, 37.10, 7655200
04/13/21, 36.50, 37.00, 36.50, 36.65, 8410100
04/12/21, 36.30, 37.00, 36.30, 36.55, 3348200
04/09/21, 36.25, 36.40, 36.00, 36.30, 8004600
04/08/21, 36.25, 36.70, 36.00, 36.15, 10535500
04/07/21, 36.95, 37.00, 36.50, 36.80, 17077301
