Date,Mean
31-03-2022,114.9513
30-03-2022,114.8731
29-03-2022,114.825
28-03-2022,114.7529
25-03-2022,114.6853
24-03-2022,114.6
23-03-2022,114.4971
22-03-2022,114.4353
21-03-2022,114.3953
18-03-2022,114.3806
17-03-2022,114.3144
16-03-2022,114.2865
15-03-2022,114.2324
14-03-2022,114.1853
11-03-2022,114.1794
10-03-2022,114.1353
09-03-2022,114.0753
08-03-2022,114.0129
07-03-2022,113.9471
04-03-2022,113.9147
03-03-2022,113.8894
02-03-2022,113.8529
01-03-2022,113.8412
28-02-2022,113.8353
25-02-2022,113.8206
24-02-2022,113.8
23-02-2022,113.7424
22-02-2022,113.6941
21-02-2022,113.6882
18-02-2022,113.6735
17-02-2022,113.6382
16-02-2022,113.6353
15-02-2022,113.6294
14-02-2022,113.6265
11-02-2022,113.6265
10-02-2022,113.6265
09-02-2022,113.6265
08-02-2022,113.6206
07-02-2022,113.6088
04-02-2022,113.6029
03-02-2022,113.5865
02-02-2022,113.5765
01-02-2022,113.5765
31-01-2022,113.5735
28-01-2022,113.5706
27-01-2022,113.5471
26-01-2022,113.5471
25-01-2022,113.5382
24-01-2022,113.5294
21-01-2022,113.5176
20-01-2022,113.5
19-01-2022,113.4676
18-01-2022,113.4147
17-01-2022,113.3941
14-01-2022,113.3676
13-01-2022,113.3329
12-01-2022,113.3118
11-01-2022,113.2765
10-01-2022,113.2382
07-01-2022,113.2206
06-01-2022,113.1853
05-01-2022,113.1735
04-01-2022,113.1559
03-01-2022,113.1382
31-12-2021,113.1412
30-12-2021,113.1265
29-12-2021,113.1059
28-12-2021,113.1
24-12-2021,113.0794
23-12-2021,113.0618
22-12-2021,113.0471
21-12-2021,113.0441
20-12-2021,113.0265
17-12-2021,113.0059
16-12-2021,112.9559
15-12-2021,112.9235
14-12-2021,112.9147
10-12-2021,112.8876
09-12-2021,112.8571
08-12-2021,112.8088
07-12-2021,112.7059
06-12-2021,112.6735
03-12-2021,112.6265
02-12-2021,112.5647
01-12-2021,112.5235
30-11-2021,112.4882
29-11-2021,112.4441
26-11-2021,112.3853
25-11-2021,112.3647
24-11-2021,112.35
